Description;Price;Full_Url;Item_Id;Json_Url
Молоко Рузское топленное 2.5% 500г;75,9;https://www.perekrestok.ru/catalog/moloko-syr-yaytsa/moloko/moloko-toplennoe-ruzskoe-500g--845823;845823;http://www.perekrestok.ru/product/845823/preview-html
Молоко Parmalat Отборное пастеризованное 3.4-6% 1л;;https://www.perekrestok.ru/catalog/moloko-syr-yaytsa/moloko/parmal-moloko-past-otborn-pet-1l--313964;313964;http://www.perekrestok.ru/product/313964/preview-html
Молоко Parmalat Natura Premium ультрапастеризованное 3.5% 200мл;;https://www.perekrestok.ru/catalog/moloko-syr-yaytsa/moloko/parm-mol-pit-ulster-3-5-200ml--336965;336965;http://www.perekrestok.ru/product/336965/preview-html
Молоко Из Углича Топленое 3.6-4.2% 500г;;https://www.perekrestok.ru/catalog/moloko-syr-yaytsa/moloko/iz-uglicha-moloko-toplenoe-3-6-5-2-500g--452306;452306;http://www.perekrestok.ru/product/452306/preview-html
Молоко Вкуснотеево ультрапастеризованное 3.2% 900мл;;https://www.perekrestok.ru/catalog/moloko-syr-yaytsa/moloko/vkusnot-moloko-ulpast-3-2-pet-900g--306725;306725;http://www.perekrestok.ru/product/306725/preview-html
Молоко Нашей Дойки пастеризованное 3.4-6% 1л;;https://www.perekrestok.ru/catalog/moloko-syr-yaytsa/moloko/nash-doyki-moloko-past-3-4-6-but-1l--310105;310105;http://www.perekrestok.ru/product/310105/preview-html
Молоко Авида ультрапастеризованное 3.2% 1л;;https://www.perekrestok.ru/catalog/moloko-syr-yaytsa/moloko/avida-moloko-ulpast-3-2-1l--353241;353241;http://www.perekrestok.ru/product/353241/preview-html
Молоко Маркет Зеленая линия цельное отборное пастеризованное 3.2-6% 1л;53;https://www.perekrestok.ru/catalog/moloko-syr-yaytsa/moloko/z-lin-mol-tsel-otb-3-4-6-1000ml--482954;482954;http://www.perekrestok.ru/product/482954/preview-html
Молоко Valio ультрапастеризованное 2.5% 973мл;;https://www.perekrestok.ru/catalog/moloko-syr-yaytsa/moloko/valio-moloko-uht-2-5-1kg--336588;336588;http://www.perekrestok.ru/product/336588/preview-html
Молоко Молочное царство пастеризованное 3.2% 900мл;;https://www.perekrestok.ru/catalog/moloko-syr-yaytsa/moloko/mol-tsar-moloko-past-3-2-fp-900g--308464;308464;http://www.perekrestok.ru/product/308464/preview-html
