;Description;Full_Url;Item_Id;Json_Url;Price;Url;brand_x;obem_x;sostav_x;srok-hraneniya-maks_x;brand_y;obem_y;sostav_y;srok-hraneniya-maks_y;proizvoditel;ves
50;Молоко ПРОСТО ультрапастеризованное 2.5% 970мл;https://www.perekrestok.ru/catalog/moloko-syr-yaytsa/moloko/prst-moloko-pit-ultrap-2-5-970ml--306111;306111.0;http://www.perekrestok.ru/product/306111/preview-html;46,8;;;;;;ПРОСТО;970;Молоко нормализованное по содержанию жира;180;;
51;Молоко М Лианозовское ультрапастеризованное 3.2% 925мл;https://www.perekrestok.ru/catalog/moloko-syr-yaytsa/moloko/m-moloko-ster-3-2-950g--306293;306293.0;http://www.perekrestok.ru/product/306293/preview-html;49,9;;;;;;М Лианозовское;925;Молоко нормализованное;270;;
52;Молоко Latter Безлактозное ультрапастеризованное 1.5% 1л;https://www.perekrestok.ru/catalog/moloko-syr-yaytsa/moloko/latter-mol-blakt-ulp-1000ml--524338;524338.0;http://www.perekrestok.ru/product/524338/preview-html;87,9;;;;;;Latter;1000;Молоко нормализованное по содержанию жира, ферментный препарат микробиального происхождения расщепляющий лактозу;120;;
53;Молоко Братья Чебурашкины пастеризованное 3.6-4.6% 1л;https://www.perekrestok.ru/catalog/moloko-syr-yaytsa/moloko/brat-cheb-moloko-past-pit-tsel-3-6-4-6-1l--310462;310462.0;http://www.perekrestok.ru/product/310462/preview-html;135;;;;;;;1000;Молоко цельное;8;Братья Чебурашкины;
54;Молоко детское Агуша с витаминами стерилизованное 3.2% 487мл;https://www.perekrestok.ru/catalog/moloko-syr-yaytsa/moloko/agusha-moloko-detskoe-3-2-500g--307007;307007.0;http://www.perekrestok.ru/product/307007/preview-html;51,9;;;;;;Агуша;487;Молоко цельное, молоко обезжиренное, витаминный премикс;180;;
55;Молоко Искренне Ваш пастеризованное 3.2% 930г;https://www.perekrestok.ru/catalog/moloko-syr-yaytsa/moloko/iskr-vash-mol-pit-past-3-2-930g--435160;435160.0;http://www.perekrestok.ru/product/435160/preview-html;87,9;;;;;;Искренне Ваш;930;Цельное молоко, обезжиренное молоко;15;;
56;Молоко Простоквашино ультрапастеризованное 3.2% 950мл;https://www.perekrestok.ru/catalog/moloko-syr-yaytsa/moloko/prostokv-moloko-ulpast-3-2-950ml--308830;308830.0;http://www.perekrestok.ru/product/308830/preview-html;95,9;;;;;;Простоквашино;950;Нормализованное молоко;248;;
57;Молоко Асеньевская ферма пастеризованное 3.4-6% 900мл;https://www.perekrestok.ru/catalog/moloko-syr-yaytsa/moloko/asen-ferma-moloko-past-3-4-6-pet-900ml--306843;306843.0;http://www.perekrestok.ru/product/306843/preview-html;85,9;;;;;;Асеньевская Ферма;900;Молоко коровье цельное;10;;
58;Молоко Свитлогорье ультрапастеризованное 3.2% 1л;https://www.perekrestok.ru/catalog/moloko-syr-yaytsa/moloko/cvitlog-moloko-pit-ulpast-3-2-1000l--306865;306865.0;http://www.perekrestok.ru/product/306865/preview-html;83,9;;;;;;Свитлогорье;1000;Обезжиренное молоко, сливки;180;;
59;Молоко Маруся отборное пастеризованное 3.5-4.5% 930мл;https://www.perekrestok.ru/catalog/moloko-syr-yaytsa/moloko/moloko-otbornoe-3-5-4-5-930ml--433969;433969.0;http://www.perekrestok.ru/product/433969/preview-html;67,9;;;;;;Маруся;930;Молоко цельное;7;;
60;Молоко Маркет Зеленая линия Российское пастеризованное 3.2% 1л;https://www.perekrestok.ru/catalog/moloko-syr-yaytsa/moloko/z-lin-moloko-ross-past-3-2-1l--544676;544676.0;http://www.perekrestok.ru/product/544676/preview-html;50;;;;;;Маркет Зеленая линия;1000;Молоко цельное, молоко обезжиренное;5;;
61;Молоко Афанасий Живое пастеризованное 3.2% 900мл;https://www.perekrestok.ru/catalog/moloko-syr-yaytsa/moloko/afanasiy-moloko-pit-past-3-2-0-9l--310336;310336.0;http://www.perekrestok.ru/product/310336/preview-html;75,9;;;;;;;900;Молоко обезжиренное, молоко цельное;10;Афанасий;
62;Молоко Экомилк пастеризованное 3.2% 1.5л;https://www.perekrestok.ru/catalog/moloko-syr-yaytsa/moloko/ekomilk-moloko-past-3-2-1500ml--435657;435657.0;http://www.perekrestok.ru/product/435657/preview-html;96,9;;;;;;Экомилк;1500;Цельное молоко, обезжиренное молоко;20;;
63;Молоко ВкусВилл 3.2-6% 900мл;https://www.perekrestok.ru/catalog/moloko-syr-yaytsa/moloko/bzmj-vkvimol-tsel-but3-5-6-0-9l--720832;720832.0;http://www.perekrestok.ru/product/720832/preview-html;59;;;;;;ВкусВилл;900;Молоко цельное;6;;
64;Молоко Братья Чебурашкины пастеризованное безлактозное 3.6-4.6% 500мл;https://www.perekrestok.ru/catalog/moloko-syr-yaytsa/moloko/brat-cheburash-moloko-blakt-3-6-4-6-0-5l--316462;316462.0;http://www.perekrestok.ru/product/316462/preview-html;94,9;;;;;;;500;молоко цельное, с использованием ферментного препарата Биолактаза;8;Братья Чебурашкины;
